claim_id,policy_holder_age,gender,marital_status,employment_status,education_level,policy_type,policy_age_days,policy_premium_annual,coverage_amount,deductible,prior_claims_count,incident_date,report_date,days_to_report,claim_amount,incident_type,incident_severity,police_report_filed,witnesses_present,attorney_involved,incident_time,claim_description_length,multiple_claims_same_incident,repair_shop_type,medical_provider_count,claimant_address_change_recent,phone_change_recent,social_media_check,is_fraud,claim_amount_to_coverage_ratio
CLM00011,36,M,Divorced,Employed,College,Auto,1772,569,147821,500,0,2025-06-02,2025-06-02,0,119104,Theft,Moderate,No,0,Yes,10,355,No,Authorized,3,No,No,Suspicious,0,0.8057312560461639
CLM00012,40,F,Single,Self-Employed,High School,Auto,1058,4424,56531,5000,1,2025-04-27,2025-04-30,3,147464,Fire,Moderate,Yes,2,Yes,12,113,Yes,Authorized,6,No,No,Not_Available,0,2.6085510604800906
CLM00013,28,M,Divorced,Employed,High School,Auto,2749,6700,387796,5000,3,2025-02-13,2025-02-25,12,162682,Water_Damage,Severe,No,0,Yes,6,99,No,Authorized,1,No,No,Clean,0,0.41950406914975913
CLM00014,28,F,Married,Employed,High School,Auto,2048,2507,292752,5000,2,2025-10-19,2025-10-25,6,28100,Injury,Minor,No,3,Yes,9,57,No,Independent,3,Yes,No,Clean,0,0.09598568071268514
CLM00015,41,M,Single,Employed,Graduate,Auto,2019,9492,353130,1000,0,2025-05-02,2025-05-06,4,130539,Theft,Moderate,Yes,0,No,23,427,No,Authorized,0,No,No,Clean,0,0.369662730439215
CLM00016,70,F,Married,Employed,High School,Auto,152,8619,472427,500,0,2025-03-27,2025-03-29,2,119377,Water_Damage,Severe,No,0,Yes,0,247,No,Independent,10,No,No,Not_Available,1,0.25268877519701455
CLM00017,53,F,Married,Employed,High School,Workers_Comp,2476,3279,356140,2000,0,2025-01-27,2025-01-29,2,30483,Water_Damage,Severe,Yes,0,No,20,153,No,Authorized,10,No,No,Not_Available,0,0.08559274442634919
CLM00018,57,M,Divorced,Employed,Graduate,Property,507,5420,66017,1000,1,2025-09-21,2025-09-28,7,142957,Theft,Minor,Yes,0,No,3,215,No,Independent,3,No,No,Clean,0,2.165457382189436
CLM00019,41,M,Married,Retired,High School,Workers_Comp,3197,1255,67676,2000,1,2025-06-07,2025-06-08,1,41010,Collision,Total_Loss,Yes,1,No,17,485,No,Authorized,10,No,No,Clean,0,0.6059755304687038
CLM00020,20,M,Divorced,Employed,Graduate,Auto,490,6995,21560,5000,2,2025-09-16,2025-09-25,9,170200,Collision,Total_Loss,No,0,Yes,5,409,No,Authorized,0,No,No,Clean,0,7.894248608534323
CLM00021,39,M,Single,Employed,College,Auto,3553,6435,457617,5000,0,2025-02-05,2025-02-10,5,156027,Injury,Total_Loss,Yes,0,Yes,1,301,No,Independent,1,No,No,Clean,0,0.34095542779223675
CLM00022,70,F,Divorced,Unemployed,Graduate,Property,344,2830,60468,1000,0,2025-05-24,2025-05-25,1,24381,Collision,Moderate,No,1,No,2,120,No,Authorized,1,No,No,Not_Available,0,0.40320500099226037
CLM00023,19,M,Single,Retired,High School,Auto,1935,6205,173535,500,0,2024-12-28,2025-01-01,4,113938,Injury,Total_Loss,No,0,No,13,494,No,Authorized,9,No,No,Clean,0,0.6565707206039127
CLM00024,41,M,Divorced,Employed,High School,Auto,1761,8801,434879,5000,0,2025-07-08,2025-07-09,1,4941,Fire,Moderate,No,0,No,7,444,No,Authorized,2,No,No,Clean,0,0.011361781093131653
CLM00025,61,F,Widowed,Employed,College,Auto,220,1516,471922,2000,0,2025-11-27,2025-11-28,1,97304,Theft,Moderate,Yes,1,Yes,15,94,No,Authorized,7,No,No,Clean,0,0.20618661558477885
CLM00026,47,M,Widowed,Employed,Graduate,Auto,1938,7847,461989,2000,1,2025-12-04,2025-12-15,11,60255,Water_Damage,Severe,Yes,3,Yes,18,313,No,Independent,10,No,No,Not_Available,0,0.13042518328358468
CLM00027,55,M,Married,Employed,College,Auto,1942,8716,305267,1000,1,2025-07-26,2025-08-01,6,158090,Injury,Total_Loss,Yes,0,Yes,17,227,No,Authorized,5,No,No,Clean,0,0.5178745164069487
CLM00028,19,M,Divorced,Unemployed,High School,Auto,722,5438,104346,2000,1,2025-12-23,2025-12-25,2,56413,Collision,Total_Loss,No,0,No,5,102,No,Unknown,5,No,No,Clean,0,0.5406340444291109
CLM00029,77,M,Divorced,Employed,College,Property,3096,3338,150790,500,0,2025-09-25,2025-10-07,12,111788,Injury,Total_Loss,No,4,Yes,13,446,No,Authorized,8,No,No,Clean,0,0.7413488958153723
CLM00030,38,M,Single,Employed,College,Auto,527,1237,203709,5000,0,2025-09-01,2025-09-03,2,148615,Vandalism,Moderate,Yes,0,Yes,2,456,No,Unknown,7,No,No,Clean,1,0.7295455772695364
CLM00031,50,F,Married,Retired,College,Auto,3253,6700,272172,2000,0,2025-10-26,2025-11-03,8,163422,Injury,Moderate,No,4,No,15,162,No,Authorized,1,No,No,Clean,0,0.6004364886909749
CLM00032,29,M,Divorced,Employed,College,Property,1522,8871,465586,2000,2,2024-12-28,2025-01-02,5,133094,Collision,Total_Loss,Yes,0,Yes,0,493,No,Unknown,5,No,No,Not_Available,0,0.28586340654572945
CLM00033,75,M,Married,Employed,Graduate,Auto,2888,731,57599,5000,0,2025-05-05,2025-05-14,9,32076,Vandalism,Moderate,Yes,2,No,11,75,No,Authorized,0,No,No,Not_Available,0,0.5568846681365996
CLM00034,39,M,Widowed,Employed,College,Auto,1664,2417,158469,1000,2,2025-09-12,2025-09-21,9,143163,Vandalism,Moderate,No,0,Yes,13,380,No,Authorized,8,No,No,Clean,0,0.9034132858792572
CLM00035,78,M,Divorced,Self-Employed,High School,Property,3113,9034,250270,2000,0,2025-08-11,2025-08-12,1,104505,Collision,Minor,No,3,No,18,459,No,Unknown,3,Yes,Yes,Clean,0,0.4175690254525113
CLM00036,61,M,Divorced,Employed,College,Auto,480,6418,55406,1000,2,2025-05-03,2025-05-10,7,53844,Vandalism,Minor,Yes,0,Yes,21,306,No,Authorized,3,Yes,Yes,Not_Available,0,0.9718081074251886
CLM00037,42,F,Married,Retired,High School,Auto,2977,3123,319801,1000,2,2025-01-26,2025-01-27,1,153905,Theft,Total_Loss,No,1,No,18,230,No,Authorized,8,No,No,Clean,1,0.48125240383863715
CLM00038,66,M,Divorced,Employed,College,Auto,1871,9146,77560,2000,0,2025-01-16,2025-01-17,1,2573,Water_Damage,Total_Loss,Yes,0,Yes,8,460,No,Independent,2,No,No,Clean,0,0.03317431665807117
CLM00039,44,F,Married,Employed,College,Auto,2919,6901,114143,500,1,2025-10-01,2025-10-10,9,139280,Theft,Minor,Yes,0,No,6,198,No,Authorized,4,No,No,Clean,0,1.2202237544133236
CLM00040,76,F,Divorced,Unemployed,High School,Auto,1462,7572,154575,1000,0,2025-05-23,2025-05-27,4,28815,Theft,Moderate,No,1,No,13,427,No,Authorized,0,No,No,Clean,0,0.1864143619602135
CLM00041,80,M,Single,Self-Employed,High School,Property,1425,2776,64943,2000,2,2025-12-22,2025-12-23,1,163382,Collision,Moderate,Yes,1,Yes,4,77,No,Authorized,5,No,No,Clean,0,2.5157753722495113
CLM00042,59,M,Married,Unemployed,High School,Auto,3617,7893,85839,1000,0,2025-06-06,2025-06-14,8,37417,Collision,Severe,No,3,Yes,17,92,No,Independent,2,No,No,Not_Available,0,0.4358974358974359
CLM00043,45,M,Divorced,Retired,Graduate,Auto,344,9287,92674,5000,0,2025-02-25,2025-03-04,7,65616,Water_Damage,Total_Loss,Yes,0,No,8,234,No,Authorized,0,No,No,Not_Available,0,0.7080302997604506
CLM00044,77,M,Widowed,Retired,Graduate,Auto,44,4374,35345,500,1,2025-03-07,2025-03-15,8,164534,Injury,Total_Loss,No,2,Yes,20,407,No,Unknown,9,No,No,Clean,0,4.655085584948366
CLM00045,33,F,Divorced,Employed,High School,Auto,2068,5030,259495,500,2,2025-12-25,2025-12-30,5,54704,Theft,Total_Loss,No,0,No,6,285,No,Independent,5,No,No,Suspicious,0,0.21080945682961136
CLM00046,32,M,Widowed,Employed,Graduate,Property,1657,7664,60390,5000,0,2025-09-01,2025-09-01,0,4989,Vandalism,Severe,Yes,4,No,8,466,No,Independent,9,No,No,Clean,0,0.08261301539990065
CLM00047,79,M,Widowed,Unemployed,College,Auto,3141,4997,236113,5000,1,2025-01-16,2025-01-16,0,73848,Water_Damage,Severe,No,4,Yes,3,92,No,Authorized,1,No,No,Clean,0,0.312765497876017
CLM00048,79,M,Single,Employed,High School,Auto,1887,8433,331701,1000,0,2025-03-18,2025-03-19,1,32071,Theft,Moderate,No,0,Yes,16,486,No,Independent,7,No,No,Clean,0,0.09668647366152047
CLM00049,64,M,Married,Retired,High School,Auto,2920,2635,468270,5000,0,2025-01-05,2025-01-08,3,50651,Injury,Minor,Yes,2,Yes,11,290,No,Authorized,10,No,No,Clean,0,0.10816622888504496
CLM00050,79,M,Divorced,Self-Employed,College,Auto,2095,7227,11906,500,1,2025-09-15,2025-10-04,19,134373,Vandalism,Minor,No,2,No,5,373,No,Independent,1,No,No,Not_Available,0,11.286158239543088
CLM00051,68,M,Single,Employed,College,Auto,1514,2065,443383,5000,0,2025-07-06,2025-07-20,14,109057,Theft,Minor,Yes,0,No,17,253,No,Authorized,3,No,No,Suspicious,0,0.2459656775293595
CLM00052,61,F,Divorced,Employed,College,Property,2598,808,17961,2000,0,2025-01-21,2025-01-27,6,89982,Fire,Moderate,No,1,Yes,7,338,No,Independent,2,No,No,Not_Available,1,5.0098546851511605
CLM00053,72,F,Widowed,Retired,High School,Auto,2334,9034,167212,2000,2,2025-01-28,2025-01-28,0,38058,Water_Damage,Minor,Yes,0,No,20,38,No,Authorized,8,No,No,Clean,0,0.2276032820610961
CLM00054,69,M,Married,Employed,High School,Auto,1001,9127,391433,1000,0,2025-10-25,2025-10-26,1,5781,Collision,Severe,Yes,2,No,14,132,No,Authorized,1,No,No,Clean,0,0.014768811009802443
CLM00055,74,M,Divorced,Retired,College,Auto,1033,8868,199773,500,1,2025-07-07,2025-07-17,10,102082,Theft,Severe,Yes,0,Yes,2,82,No,Authorized,2,No,No,Clean,1,0.5109899736200587
CLM00056,20,M,Divorced,Employed,High School,Property,2589,638,349711,2000,0,2025-09-01,2025-09-01,0,46970,Vandalism,Total_Loss,Yes,0,No,1,391,No,Authorized,6,No,No,Not_Available,0,0.13431090243086435
CLM00057,54,F,Widowed,Unemployed,High School,Auto,2040,693,352808,5000,0,2025-02-21,2025-03-09,16,128496,Vandalism,Minor,No,0,No,23,203,No,Authorized,3,No,No,Clean,0,0.3642094283576336
CLM00058,68,M,Divorced,Employed,High School,Property,2803,3757,91199,2000,0,2025-01-07,2025-01-12,5,67303,Water_Damage,Severe,Yes,1,No,22,296,No,Authorized,5,No,No,Clean,0,0.7379795831094639
CLM00059,24,F,Divorced,Unemployed,Graduate,Property,273,3735,270928,2000,1,2025-03-28,2025-03-30,2,159324,Water_Damage,Total_Loss,No,2,Yes,8,181,No,Authorized,2,No,No,Clean,0,0.5880676784976082
CLM00060,38,M,Widowed,Employed,Graduate,Property,955,1442,109764,1000,1,2025-11-17,2025-11-18,1,50161,Vandalism,Minor,Yes,4,Yes,7,262,No,Independent,0,No,No,Clean,0,0.4569895411974782
CLM00061,26,M,Single,Employed,College,Auto,2647,5120,484434,5000,0,2025-05-08,2025-05-11,3,188791,Vandalism,Minor,No,0,No,3,164,No,Authorized,10,No,No,Not_Available,0,0.38971459476419906
CLM00062,56,M,Widowed,Employed,Graduate,Auto,1779,6220,132357,5000,0,2025-10-17,2025-10-21,4,58335,Vandalism,Severe,Yes,0,Yes,1,165,No,Authorized,5,No,No,Suspicious,0,0.4407398173122691
CLM00063,35,M,Single,Retired,High School,Property,380,6853,352873,5000,3,2025-06-24,2025-06-26,2,37990,Theft,Total_Loss,No,1,No,13,100,No,Independent,3,No,No,Not_Available,0,0.10765912948851286
CLM00064,21,F,Married,Retired,College,Workers_Comp,1352,5457,431777,1000,0,2025-06-19,2025-06-19,0,90173,Vandalism,Total_Loss,No,1,Yes,1,341,No,Unknown,1,No,No,Suspicious,0,0.20884160110427374
CLM00065,42,F,Single,Employed,High School,Property,478,9645,322712,5000,2,2025-04-10,2025-04-10,0,61501,Collision,Severe,Yes,0,No,1,454,No,Authorized,6,No,No,Clean,0,0.19057549765735393
CLM00066,77,M,Single,Employed,College,Auto,2062,9994,381493,5000,0,2025-09-15,2025-09-17,2,11317,Vandalism,Severe,Yes,0,No,21,340,No,Authorized,9,No,No,Clean,0,0.029665026619099172
CLM00067,31,M,Married,Employed,Graduate,Auto,515,3881,345446,2000,1,2025-05-20,2025-05-21,1,48451,Collision,Severe,Yes,1,No,6,62,No,Authorized,4,No,No,Clean,0,0.14025636423637847
CLM00068,67,F,Single,Unemployed,College,Auto,190,6339,498596,2000,0,2025-12-04,2025-12-06,2,33841,Theft,Minor,No,0,No,11,332,No,Independent,5,No,No,Not_Available,0,0.06787258622211169
CLM00069,75,F,Widowed,Unemployed,High School,Property,1191,3380,104968,5000,2,2025-10-12,2025-10-18,6,151826,Water_Damage,Severe,No,1,Yes,5,413,No,Independent,5,No,No,Clean,0,1.4464027132078348
CLM00070,26,F,Single,Employed,College,Auto,3592,5387,170576,500,1,2025-03-02,2025-03-07,5,192486,Collision,Severe,No,1,No,17,312,No,Independent,8,No,Yes,Clean,0,1.128447143795141
CLM00071,43,F,Married,Employed,High School,Auto,2668,1045,388260,500,0,2025-03-23,2025-03-24,1,1508,Theft,Moderate,No,2,No,3,195,No,Authorized,1,No,No,Clean,1,0.003883995260907639
CLM00072,70,M,Widowed,Employed,Graduate,Property,1160,2427,309290,5000,0,2025-06-30,2025-07-04,4,43003,Vandalism,Severe,Yes,1,Yes,18,395,No,Independent,5,No,No,Clean,0,0.1390377962430082
CLM00073,19,F,Married,Employed,College,Auto,2201,4652,50297,500,1,2025-11-26,2025-11-29,3,107142,Theft,Severe,Yes,0,Yes,12,88,No,Authorized,8,No,No,Clean,0,2.1301866910551324
CLM00074,37,M,Married,Employed,College,Property,1411,504,96394,1000,1,2025-02-06,2025-02-09,3,132390,Vandalism,Minor,Yes,2,No,19,75,No,Authorized,3,Yes,No,Clean,0,1.3734257318920264
CLM00075,45,F,Divorced,Self-Employed,College,Auto,3280,6033,399317,2000,0,2025-07-29,2025-07-31,2,181744,Theft,Total_Loss,Yes,1,No,20,138,No,Authorized,10,No,No,Not_Available,0,0.45513714667795263
CLM00076,64,F,Divorced,Employed,College,Auto,271,5878,398086,1000,0,2025-09-17,2025-09-23,6,189970,Water_Damage,Minor,No,0,Yes,22,223,No,Authorized,5,Yes,No,Clean,0,0.477208442396869
CLM00077,77,F,Married,Unemployed,High School,Auto,142,6733,471823,2000,2,2025-10-14,2025-10-19,5,122289,Collision,Moderate,No,1,No,1,439,No,Independent,6,No,No,Clean,0,0.2591840584286904
CLM00078,24,F,Married,Employed,College,Property,1912,3163,26939,500,0,2025-04-02,2025-04-04,2,109368,Water_Damage,Severe,Yes,0,No,7,434,No,Independent,0,Yes,No,Not_Available,1,4.059838895281933
CLM00079,61,F,Married,Employed,High School,Auto,1092,9965,493683,500,1,2025-11-17,2025-11-17,0,30205,Fire,Severe,No,2,No,18,74,No,Unknown,4,Yes,No,Clean,0,0.06118298584314226
CLM00080,78,M,Divorced,Retired,College,Auto,2294,3826,453931,5000,0,2025-03-04,2025-03-05,1,69734,Vandalism,Severe,Yes,0,No,8,57,No,Authorized,3,No,No,Clean,0,0.15362246685068875
CLM00081,25,M,Divorced,Unemployed,Graduate,Workers_Comp,3332,4159,316604,500,2,2025-03-13,2025-03-15,2,117526,Collision,Severe,No,1,No,3,262,No,Unknown,9,No,No,Clean,1,0.37120819699056234
CLM00082,64,F,Single,Self-Employed,Graduate,Auto,787,1631,469792,500,3,2025-09-06,2025-09-10,4,196235,Water_Damage,Severe,No,0,No,15,220,No,Independent,1,No,No,Clean,0,0.417706133778353
CLM00083,52,F,Single,Employed,College,Auto,2126,5263,209294,5000,5,2025-11-22,2025-11-23,1,138791,Collision,Severe,No,0,No,18,255,No,Authorized,1,No,No,Clean,0,0.663138933748698
CLM00084,31,M,Married,Employed,College,Auto,1681,7237,415882,5000,0,2025-09-11,2025-09-11,0,143111,Fire,Moderate,No,5,No,9,493,No,Independent,1,No,No,Clean,0,0.34411443630645233
CLM00085,34,F,Widowed,Retired,High School,Auto,622,5592,72119,2000,2,2025-04-30,2025-05-06,6,18326,Injury,Severe,No,2,No,5,34,No,Independent,6,No,No,Not_Available,0,0.254107794062591
CLM00086,53,F,Widowed,Employed,College,Property,2572,6522,176393,500,0,2025-11-12,2025-11-13,1,25422,Vandalism,Severe,No,0,Yes,15,163,No,Authorized,10,No,No,Clean,0,0.14412136536030343
CLM00087,67,M,Divorced,Employed,High School,Auto,2819,3659,404995,2000,1,2025-09-02,2025-09-09,7,117604,Vandalism,Severe,Yes,0,Yes,9,96,Yes,Independent,10,No,No,Clean,0,0.29038383189915923
CLM00088,57,F,Divorced,Employed,College,Auto,937,6659,154258,2000,1,2025-12-06,2025-12-06,0,58315,Theft,Moderate,No,0,Yes,12,492,No,Independent,3,No,No,Clean,1,0.3780354989692593
CLM00089,21,F,Divorced,Employed,High School,Auto,3401,7818,419675,1000,0,2025-11-15,2025-11-27,12,148050,Vandalism,Severe,Yes,1,No,8,497,No,Independent,5,No,No,Not_Available,0,0.3527729790909632
CLM00090,19,M,Married,Retired,High School,Property,3260,8945,489462,500,3,2025-04-20,2025-04-22,2,137732,Vandalism,Moderate,Yes,1,No,6,328,No,Independent,6,No,No,Not_Available,0,0.28139467415243674
CLM00091,79,M,Widowed,Employed,College,Auto,1118,5807,228827,500,0,2025-08-11,2025-08-17,6,169450,Water_Damage,Minor,Yes,1,No,3,459,No,Authorized,8,No,No,Clean,0,0.7405157608149388
CLM00092,23,M,Single,Employed,High School,Auto,616,9020,277201,1000,1,2025-08-28,2025-09-02,5,167384,Vandalism,Severe,Yes,1,Yes,18,282,No,Independent,10,No,No,Clean,0,0.6038362054970942
CLM00093,71,F,Married,Employed,College,Auto,1031,3544,463879,2000,2,2025-01-11,2025-01-18,7,94935,Vandalism,Total_Loss,Yes,2,Yes,3,204,No,Independent,1,No,No,Suspicious,0,0.20465466209938368
CLM00094,59,M,Single,Employed,High School,Auto,66,6136,159805,500,2,2025-02-06,2025-02-11,5,73179,Fire,Moderate,Yes,0,No,18,74,No,Authorized,9,Yes,No,Clean,0,0.4579268483464222
CLM00095,21,M,Single,Employed,High School,Auto,3567,3392,291301,2000,0,2025-09-30,2025-10-02,2,24046,Fire,Minor,No,0,Yes,18,327,No,Authorized,8,No,No,Clean,1,0.08254691882279841
CLM00096,71,M,Married,Employed,College,Auto,190,5788,307174,1000,0,2025-03-02,2025-03-08,6,162912,Collision,Moderate,No,1,Yes,11,23,No,Independent,10,No,No,Clean,0,0.5303573870184326
CLM00097,46,M,Single,Employed,High School,Property,3437,6312,160685,5000,2,2025-11-01,2025-11-04,3,110833,Collision,Moderate,No,4,No,12,318,No,Authorized,4,No,No,Clean,0,0.6897532439244485
CLM00098,80,M,Widowed,Retired,High School,Auto,2815,1154,118612,2000,0,2025-09-26,2025-10-18,22,7353,Vandalism,Minor,Yes,1,No,3,59,No,Independent,5,No,No,Clean,0,0.061992041277442414
CLM00099,35,M,Single,Employed,College,Workers_Comp,520,5981,387224,500,0,2025-03-21,2025-03-21,0,79411,Vandalism,Severe,Yes,1,Yes,9,249,No,Unknown,5,No,No,Clean,0,0.20507768113546682
CLM00100,43,F,Widowed,Employed,High School,Workers_Comp,989,1259,355172,5000,0,2025-04-10,2025-04-10,0,32913,Theft,Severe,Yes,1,No,20,396,No,Authorized,10,No,No,Clean,0,0.09266777786537227
CLM00101,61,F,Widowed,Retired,Graduate,Auto,1140,7282,489498,2000,0,2025-04-28,2025-05-11,13,195503,Collision,Moderate,No,3,Yes,6,305,No,Authorized,2,No,No,Clean,0,0.3993948902753433
CLM00102,51,M,Widowed,Unemployed,High School,Auto,2314,2298,146260,2000,2,2025-02-25,2025-02-25,0,158804,Water_Damage,Minor,No,0,Yes,4,157,No,Authorized,10,No,No,Clean,1,1.0857650758922466
CLM00103,27,M,Divorced,Employed,High School,Auto,1634,5659,248178,5000,0,2025-12-15,2025-12-22,7,48465,Vandalism,Severe,No,0,Yes,16,497,No,Authorized,10,Yes,No,Clean,0,0.1952832241375142
CLM00104,79,M,Single,Employed,College,Property,2532,8946,269418,5000,1,2025-09-10,2025-09-14,4,67693,Water_Damage,Moderate,Yes,4,No,17,122,No,Unknown,9,No,No,Not_Available,0,0.25125641196950466
CLM00105,53,F,Married,Employed,High School,Auto,3580,5762,39680,5000,0,2025-07-11,2025-07-18,7,164603,Vandalism,Total_Loss,Yes,2,Yes,10,26,No,Authorized,6,No,No,Clean,0,4.148261088709678
CLM00106,31,F,Married,Unemployed,High School,Auto,3369,4323,244433,500,0,2025-12-03,2025-12-03,0,168608,Water_Damage,Minor,Yes,0,Yes,14,183,No,Authorized,6,No,No,Clean,0,0.6897922948210757
CLM00107,48,F,Single,Self-Employed,High School,Auto,1187,2376,463335,500,0,2025-11-15,2025-11-19,4,149585,Injury,Total_Loss,No,0,No,20,438,No,Independent,7,Yes,No,Clean,0,0.3228441624310704
CLM00108,65,F,Divorced,Unemployed,High School,Property,375,6654,374446,2000,0,2025-03-29,2025-04-01,3,38585,Water_Damage,Total_Loss,Yes,0,No,21,491,No,Independent,4,No,No,Clean,0,0.10304556598281193
CLM00109,32,F,Divorced,Employed,Graduate,Property,652,8287,477616,2000,0,2025-05-13,2025-05-23,10,199404,Collision,Moderate,Yes,0,Yes,6,442,No,Authorized,1,No,No,Clean,0,0.4174985762621018
CLM00110,25,F,Widowed,Retired,High School,Auto,3339,5016,458934,1000,1,2025-04-30,2025-05-06,6,111604,Vandalism,Minor,Yes,4,No,17,439,No,Independent,2,No,No,Clean,0,0.243180936692422
CLM00111,31,F,Single,Employed,College,Property,548,4234,46445,500,0,2025-10-29,2025-10-29,0,16201,Collision,Severe,Yes,0,No,5,384,No,Authorized,8,No,No,Clean,0,0.3488211863494456
CLM00112,40,F,Single,Employed,Graduate,Auto,1097,9936,15796,2000,0,2025-11-09,2025-11-24,15,8931,Water_Damage,Severe,No,2,Yes,17,295,No,Independent,5,No,No,Clean,0,0.5653963028614839
CLM00113,77,F,Married,Employed,College,Auto,3579,6472,319362,5000,0,2025-07-05,2025-07-06,1,51997,Fire,Moderate,No,0,No,15,68,No,Authorized,7,No,No,Suspicious,0,0.1628152378805243
CLM00114,74,M,Single,Self-Employed,Graduate,Property,72,7139,180203,5000,0,2025-07-01,2025-07-02,1,5104,Fire,Severe,Yes,1,Yes,1,115,No,Authorized,7,No,Yes,Suspicious,0,0.02832361281443705
CLM00115,79,M,Divorced,Employed,High School,Auto,2355,5856,411339,500,3,2025-03-25,2025-03-26,1,46024,Fire,Severe,Yes,0,No,18,78,No,Independent,4,No,Yes,Not_Available,0,0.11188824789285723
CLM00116,57,M,Single,Unemployed,Graduate,Auto,198,6880,149294,5000,1,2025-05-07,2025-05-07,0,152681,Vandalism,Total_Loss,No,1,No,0,250,No,Authorized,0,No,No,Clean,1,1.022686779106997
CLM00117,38,M,Married,Employed,High School,Auto,3201,1508,296218,1000,0,2025-02-12,2025-02-12,0,37270,Theft,Total_Loss,No,1,Yes,10,196,No,Authorized,5,No,No,Clean,0,0.12581949780229426
CLM00118,33,F,Widowed,Employed,College,Property,1781,4814,388232,2000,0,2025-06-23,2025-06-23,0,43655,Injury,Minor,Yes,1,Yes,19,109,No,Unknown,6,No,No,Not_Available,0,0.11244565105400894
CLM00119,62,F,Married,Employed,College,Property,571,3008,433041,2000,4,2025-11-21,2025-12-01,10,145834,Water_Damage,Total_Loss,No,0,No,4,301,No,Independent,8,No,No,Clean,1,0.33676718832627855
CLM00120,35,M,Married,Employed,High School,Property,790,5258,308983,2000,0,2025-03-06,2025-03-08,2,118215,Theft,Severe,No,0,No,15,55,No,Authorized,1,No,No,Suspicious,1,0.3825938643873611
CLM00121,64,F,Widowed,Retired,College,Property,1638,3182,379256,500,2,2025-09-24,2025-09-28,4,104316,Fire,Minor,Yes,0,No,22,190,No,Independent,1,No,No,Clean,0,0.2750543168730356
CLM00122,70,M,Married,Employed,College,Auto,1831,7811,399658,5000,0,2025-01-14,2025-01-14,0,66030,Water_Damage,Minor,No,0,Yes,0,145,No,Independent,9,No,No,Clean,0,0.1652162599022164
CLM00123,41,F,Married,Unemployed,High School,Auto,1855,1489,78322,1000,3,2025-03-31,2025-04-06,6,178575,Theft,Moderate,No,1,No,18,318,No,Independent,0,No,No,Clean,0,2.280010724955951
CLM00124,43,M,Single,Retired,High School,Auto,1510,8946,328465,500,2,2025-03-17,2025-03-19,2,36465,Collision,Total_Loss,No,1,Yes,13,374,No,Authorized,4,No,No,Clean,0,0.111016394440808
CLM00125,42,F,Single,Self-Employed,College,Auto,1174,5211,240246,2000,1,2025-04-08,2025-04-08,0,62288,Fire,Minor,No,1,No,2,223,No,Independent,1,No,No,Clean,0,0.25926758405967215
